speed,accel,angular acc / 100 rads
569.883,10.0537,0.00130466
580.761,10.0447,0.00118072
600.835,10.0803,0.00106844
639.603,9.96786,0.00110731
643.866,10.0634,0.00120172
678.734,10.0379,0.00108372
684.984,10.0594,0.000959925
706.824,10.0628,0.000894159
736.342,10.0572,0.00106968
740.976,10.1086,0.00114692
761.231,10.1122,0.000807789
786.225,10.0489,0.000789371
807.314,10.1051,0.000962005
822.883,10.0786,0.000831747
844.354,10.1988,0.000731464
860.274,10.0695,0.000765379
912.657,10.1108,0.000819851
946.901,9.97977,0.000960672
968.983,9.91733,0.00103751
991.01,9.94618,0.000956576
316.413,9.67835,0.0026576
338.545,9.77783,0.00327163
344.079,10.1609,0.00249452
378.235,9.45883,0.0022731
383.274,9.88229,0.00207652
417.668,9.9364,0.00178653
422.925,9.62453,0.00201658
441.893,9.55135,0.00192811
464.714,9.46389,0.0018319
492.624,9.46097,0.00181176
518.515,9.7956,0.00162523
539.204,9.91689,0.00135557
553.454,9.94942,0.00110208
560.012,9.95036,0.00129912
586.592,10.0461,0.00108378
601.152,9.87917,0.00126901
638.825,9.9524,0.0011836
642.709,10.053,0.00102159
660.767,10.0872,0.000911006
688.14,9.85656,0.00106231
718.727,10.0236,0.0008506
725.749,10.1031,0.000972671
741.759,10.0966,0.000840831
772.054,10.0867,0.00064497
786.457,10.1705,0.000860434
805.662,10.1426,0.000880864
821.092,9.98038,0.00096368
842.184,9.85406,0.00104905
860.081,9.80327,0.00118984
897.912,9.87287,0.000826323
918.347,10.0022,0.000782232
933.259,10.0839,0.000839638
951.323,10.0457,0.000639168
978.956,10.1607,0.000701101
994.265,9.88119,0.00081749
